"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
3;50;0;"perverso";1;0,0472;0,1313
3;50;0;"t_test";4;0,0456;0,1274
3;50;0;"wilcoxon";4;0,0562;0,1274
3;50;0;"perverso";4;0,0556;0,1274
3;50;0;"t_test";16;0,0468;0,1299
3;50;0;"wilcoxon";16;0,0718;0,1299
3;50;0;"perverso";16;0,0689;0,1299
3;50;0,2;"t_test";1;0,1947;0,1278
3;50;0,2;"wilcoxon";1;0,2766;0,1278
3;50;0,2;"perverso";1;0,2738;0,1278
3;50;0,2;"t_test";4;0,1054;0,1296
3;50;0,2;"wilcoxon";4;0,1523;0,1296
3;50;0,2;"perverso";4;0,1488;0,1296
3;50;0,2;"t_test";16;0,0634;0,1297
3;50;0,2;"wilcoxon";16;0,1011;0,1297
3;50;0,2;"perverso";16;0,0993;0,1297
3;50;0,5;"t_test";1;0,748;0,1276
3;50;0,5;"wilcoxon";1;0,9162;0,1276
3;50;0,5;"perverso";1;0,9111;0,1276
3;50;0,5;"t_test";4;0,4065;0,1277
3;50;0,5;"wilcoxon";4;0,5871;0,1277
3;50;0,5;"perverso";4;0,5782;0,1277
3;50;0,5;"t_test";16;0,1618;0,1255
3;50;0,5;"wilcoxon";16;0,2598;0,1255
3;50;0,5;"perverso";16;0,2558;0,1255
3;100;0;"t_test";1;0,0489;0,0173
3;100;0;"wilcoxon";1;0,0519;0,0173
3;100;0;"perverso";1;0,052;0,0173
3;100;0;"t_test";4;0,0464;0,0174
3;100;0;"wilcoxon";4;0,0579;0,0174
3;100;0;"perverso";4;0,0577;0,0174
3;100;0;"t_test";16;0,0477;0,0151
3;100;0;"wilcoxon";16;0,0712;0,0151
3;100;0;"perverso";16;0,0712;0,0151
3;100;0,2;"t_test";1;0,3341;0,0154
3;100;0,2;"wilcoxon";1;0,4909;0,0154
3;100;0,2;"perverso";1;0,4902;0,0154
3;100;0,2;"t_test";4;0,1559;0,0148
3;100;0,2;"wilcoxon";4;0,2485;0,0148
3;100;0,2;"perverso";4;0,2474;0,0148
3;100;0,2;"t_test";16;0,0798;0,0148
3;100;0,2;"wilcoxon";16;0,1358;0,0148
3;100;0,2;"perverso";16;0,1356;0,0148
3;100;0,5;"t_test";1;0,9397;0,014
3;100;0,5;"wilcoxon";1;0,9976;0,014
3;100;0,5;"perverso";1;0,9976;0,014
3;100;0,5;"t_test";4;0,6555;0,0155
3;100;0,5;"wilcoxon";4;0,8773;0,0155
3;100;0,5;"perverso";4;0,8768;0,0155
3;100;0,5;"t_test";16;0,2659;0,0157
3;100;0,5;"wilcoxon";16;0,4529;0,0157
3;100;0,5;"perverso";16;0,4515;0,0157
4;10;0;"t_test";1;0,0275;0,1498
4;10;0;"wilcoxon";1;0,0422;0,1498
4;10;0;"perverso";1;0,0455;0,1498
4;10;0;"t_test";4;0,0844;0,1584
4;10;0;"wilcoxon";4;0,1747;0,1584
4;10;0;"perverso";4;0,1762;0,1584
4;10;0;"t_test";16;0,1424;0,1525
4;10;0;"wilcoxon";16;0,2812;0,1525
4;10;0;"perverso";16;0,2812;0,1525
4;10;0,2;"t_test";1;0,0866;0,1529
4;10;0,2;"wilcoxon";1;0,1755;0,1529
4;10;0,2;"perverso";1;0,1779;0,1529
4;10;0,2;"t_test";4;0,0391;0,1568
4;10;0,2;"wilcoxon";4;0,0856;0,1568
4;10;0,2;"perverso";4;0,0878;0,1568
4;10;0,2;"t_test";16;0,1032;0,1534
4;10;0,2;"wilcoxon";16;0,2166;0,1534
4;10;0,2;"perverso";16;0,2168;0,1534
4;10;0,5;"t_test";1;0,3417;0,1545
4;10;0,5;"wilcoxon";1;0,5661;0,1545
4;10;0,5;"perverso";1;0,5678;0,1545
4;10;0,5;"t_test";4;0,0546;0,1616
4;10;0,5;"wilcoxon";4;0,0661;0,1616
4;10;0,5;"perverso";4;0,0761;0,1616
4;10;0,5;"t_test";16;0,0617;0,1604
